time,type,source,target,score
2018_2023,birth,,2018_2023_C33,
2018_2023,birth,,2018_2023_C17,
2018_2023,birth,,2018_2023_C2,
2018_2023,birth,,2018_2023_C12,
2018_2023,birth,,2018_2023_C23,
2018_2023,birth,,2018_2023_C14,
2018_2023,birth,,2018_2023_C10,
2018_2023,birth,,2018_2023_C29,
2018_2023,birth,,2018_2023_C39,
2018_2023,birth,,2018_2023_C31,
2018_2023,birth,,2018_2023_C40,
2018_2023,birth,,2018_2023_C8,
2018_2023,birth,,2018_2023_C41,
2018_2023,birth,,2018_2023_C37,
2018_2023,birth,,2018_2023_C42,
2018_2023,birth,,2018_2023_C22,
2018_2023,birth,,2018_2023_C35,
2023_2028,survive,2018_2023_C38,2023_2028_C10,1.0
2023_2028,survive,2018_2023_C27,2023_2028_C3,1.0
2023_2028,survive,2018_2023_C12,2023_2028_C2,0.5
2023_2028,survive,2018_2023_C34,2023_2028_C8,1.0
2023_2028,survive,2018_2023_C29,2023_2028_C4,1.0
2023_2028,survive,2018_2023_C30,2023_2028_C5,1.0
2023_2028,survive,2018_2023_C39,2023_2028_C11,1.0
2023_2028,survive,2018_2023_C31,2023_2028_C6,1.0
2023_2028,survive,2018_2023_C40,2023_2028_C12,1.0
2023_2028,survive,2018_2023_C41,2023_2028_C14,1.0
2023_2028,survive,2018_2023_C42,2023_2028_C16,1.0
2023_2028,survive,2018_2023_C43,2023_2028_C19,1.0
2023_2028,survive,2018_2023_C44,2023_2028_C20,1.0
2023_2028,survive,2018_2023_C45,2023_2028_C21,1.0
2023_2028,survive,2018_2023_C46,2023_2028_C22,1.0
2023_2028,survive,2018_2023_C28,2023_2028_C7,1.0
2023_2028,survive,2018_2023_C47,2023_2028_C23,1.0
2023_2028,survive,2018_2023_C48,2023_2028_C24,1.0
2023_2028,survive,2018_2023_C49,2023_2028_C25,1.0
2023_2028,survive,2018_2023_C36,2023_2028_C9,1.0
2023_2028,survive,2018_2023_C50,2023_2028_C26,1.0
2023_2028,survive,2018_2023_C51,2023_2028_C27,1.0
2023_2028,survive,2018_2023_C52,2023_2028_C28,1.0
2023_2028,survive,2018_2023_C53,2023_2028_C29,1.0
2023_2028,death,2018_2023_C21,,
2023_2028,death,2018_2023_C6,,
2023_2028,death,2018_2023_C15,,
2023_2028,death,2018_2023_C13,,
2023_2028,death,2018_2023_C5,,
2023_2028,death,2018_2023_C18,,
2023_2028,death,2018_2023_C4,,
2023_2028,death,2018_2023_C3,,
2023_2028,death,2018_2023_C19,,
2023_2028,death,2018_2023_C1,,
2023_2028,death,2018_2023_C9,,
2023_2028,death,2018_2023_C16,,
2023_2028,death,2018_2023_C33,,
2023_2028,death,2018_2023_C24,,
2023_2028,death,2018_2023_C17,,
2023_2028,death,2018_2023_C2,,
2023_2028,death,2018_2023_C11,,
2023_2028,death,2018_2023_C23,,
2023_2028,death,2018_2023_C14,,
2023_2028,death,2018_2023_C10,,
2023_2028,death,2018_2023_C7,,
2023_2028,death,2018_2023_C20,,
2023_2028,death,2018_2023_C32,,
2023_2028,death,2018_2023_C8,,
2023_2028,death,2018_2023_C37,,
2023_2028,death,2018_2023_C22,,
2023_2028,death,2018_2023_C26,,
2023_2028,death,2018_2023_C25,,
2023_2028,death,2018_2023_C35,,
2023_2028,merge,"['2018_2023_C17', '2018_2023_C12']",2023_2028_C2,"[0.25, 0.5]"
2023_2028,birth,,2023_2028_C1,
2023_2028,birth,,2023_2028_C13,
2023_2028,birth,,2023_2028_C15,
2023_2028,birth,,2023_2028_C17,
2023_2028,birth,,2023_2028_C18,
