,1993_1998,1998_2003,2003_2008,2008_2013,2013_2018,2018_2023,2023_2028
10.30535/mto.23.2.6,,,,,,3,2
10.30535/mto.23.2.7,,,,,2,2,2
10.30535/mto.23.3.12,,,,,,29,37
10.30535/mto.23.3.2,,,,,16,9,2
10.30535/mto.23.3.4,,,,,1,1,1
10.30535/mto.23.3.6,,,,,4,1,1
10.30535/mto.23.4.4,,,,,,,2
10.30535/mto.23.4.6,,,,,3,1,1
10.30535/mto.23.4.7,,,,,,,5
10.30535/mto.23.4.8,,,,,9,1,1
10.30535/mto.24.1.1,,,,,,3,3
10.30535/mto.24.1.2,,,,,,1,1
10.30535/mto.24.1.5,,,,,,,1
10.30535/mto.24.2.3,,,,,,2,2
10.30535/mto.24.3.3,,,,,,40,17
10.30535/mto.24.3.4,,,,,,1,1
10.30535/mto.24.3.5,,,,,,15,18
10.30535/mto.24.3.7,,,,,,1,1
10.30535/mto.24.3.9,,,,,,2,2
10.30535/mto.24.4.1,,,,,,2,2
10.30535/mto.24.4.2,,,,,,2,2
10.30535/mto.24.4.5,,,,,,2,2
10.30535/mto.25.1.1,,,,,,2,2
10.30535/mto.25.1.10,,,,,,1,1
10.30535/mto.25.1.11,,,,,,1,1
10.30535/mto.25.1.12,,,,,,1,1
10.30535/mto.25.1.3,,,,,,12,8
10.30535/mto.25.1.5,,,,,,1,1
10.30535/mto.25.1.7,,,,,,1,1
10.30535/mto.25.1.8,,,,,,1,1
10.30535/mto.25.1.9,,,,,,1,1
10.30535/mto.25.2.4,,,,,,2,2
10.30535/mto.25.2.6,,,,,,,19
10.30535/mto.25.2.7,,,,,,16,20
10.30535/mto.25.3.1,,,,,,1,1
10.30535/mto.25.3.3,,,,,,2,2
10.30535/mto.25.3.4,,,,,,6,7
10.30535/mto.25.4.1,,,,,,3,3
10.30535/mto.25.4.3,,,,,,1,1
10.30535/mto.25.4.4,,,,,,3,3
10.30535/mto.26.1.3,,,,,,1,1
10.30535/mto.26.1.5,,,,,,2,2
10.30535/mto.26.2.1,,,,,,1,1
10.30535/mto.26.2.11,,,,,,2,2
10.30535/mto.26.2.12,,,,,,1,1
10.30535/mto.26.2.2,,,,,,3,3
10.30535/mto.26.2.3,,,,,,1,1
10.30535/mto.26.2.4,,,,,,,25
10.30535/mto.26.2.6,,,,,,1,1
10.30535/mto.26.2.7,,,,,,3,3
10.30535/mto.26.3.11,,,,,,,9
10.30535/mto.26.3.14,,,,,,2,2
10.30535/mto.26.3.2,,,,,,1,1
10.30535/mto.26.3.4,,,,,,,13
10.30535/mto.26.3.8,,,,,,17,21
10.30535/mto.26.4.3,,,,,,4,2
10.30535/mto.26.4.4,,,,,,3,2
10.30535/mto.26.4.5,,,,,,7,6
10.30535/mto.26.4.6,,,,,,40,17
10.30535/mto.26.4.9,,,,,,,22
10.30535/mto.27.1.1,,,,,,1,1
10.30535/mto.27.1.2,,,,,,3,3
10.30535/mto.27.1.3,,,,,,1,1
10.30535/mto.27.1.7,,,,,,1,1
10.30535/mto.27.2.1,,,,,,11,11
10.30535/mto.27.2.10,,,,,,1,1
10.30535/mto.27.2.11,,,,,,15,18
10.30535/mto.27.2.12,,,,,,1,1
10.30535/mto.27.2.13,,,,,,6,7
10.30535/mto.27.2.2,,,,,,1,1
10.30535/mto.27.2.3,,,,,,1,1
10.30535/mto.27.2.4,,,,,,1,1
10.30535/mto.27.2.5,,,,,,1,1
10.30535/mto.27.2.6,,,,,,2,2
10.30535/mto.27.2.8,,,,,,10,10
10.30535/mto.27.3.1,,,,,,29,37
10.30535/mto.27.4.1,,,,,,1,1
10.30535/mto.27.4.2,,,,,,2,2
10.30535/mto.27.4.3,,,,,,1,1
10.30535/mto.27.4.4,,,,,,1,1
10.30535/mto.27.4.5,,,,,,4,2
10.30535/mto.27.4.6,,,,,,3,2
10.30535/mto.27.4.7,,,,,,4,2
10.30535/mto.27.4.8,,,,,,1,1
10.30535/mto.27.4.9,,,,,,18,23
10.30535/mto.28.1.2,,,,,,1,1
10.30535/mto.28.1.9,,,,,,,24
10.30535/mto.28.2.1,,,,,,1,1
10.30535/mto.28.2.10,,,,,,1,1
10.30535/mto.28.2.3,,,,,,3,3
10.30535/mto.28.2.4,,,,,,1,1
10.30535/mto.28.2.6,,,,,,1,1
10.30535/mto.28.2.7,,,,,,1,1
10.30535/mto.28.2.9,,,,,,1,1
10.30535/mto.28.3.1,,,,,,2,2
10.30535/mto.28.3.3,,,,,,3,2
10.30535/mto.28.3.6,,,,,,3,3
10.30535/mto.28.3.7,,,,,,2,2
10.30535/mto.28.3.8,,,,,,1,1
10.30535/mto.28.3.9,,,,,,1,1
10.30535/mto.28.4.1,,,,,,,12
10.30535/mto.28.4.2,,,,,,1,1
10.30535/mto.28.4.5,,,,,,1,1
10.30535/mto.28.4.6,,,,,,1,1
10.30535/mto.28.4.7,,,,,,18,23
10.30535/mto.28.4.8,,,,,,25,29
10.30535/mto.29.1.2,,,,,,,5
10.30535/mto.29.1.4,,,,,,,1
10.30535/mto.29.2.2,,,,,,,13
10.30535/mto.29.2.4,,,,,,,1
10.30535/mto.29.3.1,,,,,,,5
10.30535/mto.29.3.4,,,,,,,1
10.30535/mto.29.3.5,,,,,,,1
10.30535/mto.29.3.8,,,,,,,24
10.30535/mto.29.3.9,,,,,,,3
10.30535/mto.29.4.11,,,,,,,25
10.30535/mto.29.4.8,,,,,,,26
10.30535/mto.29.4.9,,,,,,,26
10.30535/mto.30.1.2,,,,,,,12
10.30535/mto.30.1.3,,,,,,,12
10.30535/mto.30.1.4,,,,,,,22
10.30535/mto.30.1.7,,,,,,,2
10.30535/mto.30.1.9,,,,,,,5
10.30535/mto.30.2.2,,,,,,,5
10.30535/mto.30.2.3,,,,,,,1
10.30535/mto.30.2.4,,,,,,,2
10.30535/mto.30.2.5,,,,,,,9
10.30535/mto.30.2.6,,,,,,,1
10.30535/mto.30.2.7,,,,,,,33
10.30535/mto.30.3.1,,,,,,,2
10.30535/mto.30.3.5,,,,,,,1
10.30535/mto.30.3.6,,,,,,,2
10.30535/mto.30.4.1,,,,,,,1
10.30535/mto.30.4.18,,,,,,,19
10.30535/mto.30.4.3,,,,,,,1
10.30535/mto.30.4.4,,,,,,,13
10.30535/mto.4.1.1,,,,4,10,3,2
10.30535/mto.7.1.1,,,,,1,1,1
10.30535/mto.7.2.1,,,,,21,1,1
10.30535/mto.7.6.1,,,,3,1,1,1
Agawu1996Analyzing_Music_Under,,,,,23,19,27
Albrecht2014Review_of_Elizabeth,,,,,24,20,28
Anku2000Circles_and_Time:,,,,3,1,1,1
Attas2009Metaphors_in_Motion:,,,,5,18,8,14
Auerbach2010Pedagogical_Applications_of,,,,12,26,22,30
Bakulina2014The_Concept_of,,,,,6,3,3
Bakulina2017Canons_as_Hypermetrical,,,,,27,23,31
Bazayev2014Introduction:_Russian_Theoretical,,,,,6,3,3
Bazayev2018An_Octatonic_History,,,,,,3,3
Bent1996Diatonic_<i>ficta</i>_revisited:,,,,13,28,24,32
Blake2012Timbre_as_Differentiation,,,,6,13,1,1
Bourne2016Perceiving_Irony_in,,,,,29,1,1
Boyle2021Review_of_<i>The,,,,,,1,1
Buchler2007Reconsidering_Klumpenhouwer_Networks,,,3,14,16,9,2
Bugallo2014<i>Harmonic</i>_and_<i>Non-Harmonic</i>,,,,,7,5,4
"Burns2004Authenticity,_Appropriation,_Signification:",,,,,,1,1
Byros2012Review_of_Giorgio,,,,,8,2,2
Byros2015Prelude_on_a,,,,,8,2,2
Cairns2014A_Glimpse_at,,,,,6,3,3
Callender2014Performing_the_Irrational:,,,,,7,5,4
Chenette2012Hearing_Counterpoint_Within,,,,13,28,24,32
Childs2006Structural_and_Transformational,,,,,,12,8
Clarke2017North_Indian_Classical,,,,,31,26,34
Clement2015Scale_Systems_and,,,,,12,1,1
Clement2017Review_of_Brad,,,,,4,1,1
Clercq2016Review_of_Ralf,,,,,3,1,1
Clercq2018Review_of_Christopher,,,,,,1,1
Cohen2015Expansive_Form_in,,,,,12,1,1
"Cook2005Prompting_Performance:_Text,",,,,,,2,2
Covach1995Schoenberg’s_Turn_to,,,,,32,27,35
Cox2013Review_of_Steve,,,,,10,3,2
Cramer2003The_Harmonic_Function,,,,6,13,3,3
Cubero2017Inwardness_and_Inner,,,,,33,28,36
Cumming2013Renaissance_Improvisation_and,,,,,2,2,2
Demske1995On_Considering_a,1,1,1,7,19,13,15
Diergarten2008“At_times_even,,,,,17,7,6
Dodson2002Performance_and_Hypermetric,,,,15,35,30,38
Dodson2012Solutions_to_the,,,,15,35,30,38
Donin2008Charting_the_Score,,,,16,36,31,39
Duker2015Hacking_the_Music,,,,,8,2,2
Endrinal2013Review_of_Allan,,,,,3,1,1
Everett2004Making_Sense_of,,,,1,3,1,1
Ewell2012Rethinking_Octatonicism:_Views,,,,,6,3,3
Ewell2013“On_the_System,,,,,6,3,3
Gann2014Outside_the_Feedback,,,,,7,5,4
Garcia2005On_and_On:,,,,,24,20,28
Gotham2015Meter_Metrics:_Characterizing,,,,,1,1,1
Guerrero2006Serial_Intervention_in,,,4,17,37,32,40
Guido2014Unpacking_the_Box,,,,,8,2,2
"Gur2008Body,_Forces,_and",,,,4,10,3,2
Hanenberg2016Rock_Modulation_and,,,,,3,1,1
Hannaford2020Review_of_Leslie,,,,,,2,2
Hermann1995Towards_a_New,1,1,1,7,19,13,15
"Holm-Hudson2002Your_Guitar,_It",,,,,,1,1
Hood2012Ambiguity_of_Tonal,,,,10,30,11,11
Hook2011Review_of_Dmitri,,,,,14,2,2
Hough2015Elements_of_Style,,,,,3,1,1
Jakubowski2018Spectral_Meter:_Dramatizing,,,,,,1,1
Kallis2008Principles_of_Pitch,,,,18,38,33,41
Kaminsky2000Revenge_of_the,,,,,22,1,1
Klumpenhouwer1994Some_Remarks_on,,,,19,40,34,42
Kochavi2012Review_of_Edward,,,,19,40,34,42
"Koozin1999On_Metaphor,_Technology,",,,,16,36,31,39
Koozin2014History_and_Future,,,,,22,1,1
Kopp2014On_Performing_Chopin’s,,,,,15,4,2
Kuusi2003The_Role_of,,,,20,41,35,43
Kuusi2009Discrimination_and_Evaluation,,,,20,41,35,43
Leong2005The_Performer’s_Voice:,,,,,15,4,2
Lewis2013Critical_Responses_to,,,,,2,2,2
Leydon2012Clean_as_a,,,,6,13,3,3
Littlefield1994Code_and_Context:,3,3,5,21,42,36,44
Littlefield1996The_Silence_of,,,,,43,37,45
Losada2007K-nets_and_Hierarchical,,,3,14,16,9,2
Love2012“Possible_Paths”:_Schemata,,,,2,11,2,2
Love2015Historical_Hypermetrical_Hearing:,,,,,27,23,31
Maler2013Songs_for_Hands:,,,,,5,1,1
Marion2007Debussy_and_Recollection:,,,6,22,44,38,46
Mastic2015Normative_Wit:_Haydn’s,,,,,17,7,6
Miller2020“All_of_the,,,,,,2,2
Moseley2013Entextualization_and_the,,,,,2,2,2
Murcott2014Tomorrow’s_Music_On,,,,,7,5,4
Murphy2016Cohn’s_Platonic_Model,,,,,4,1,1
Neidhöfer2007Bruno_Maderna’s_Serial,,,4,17,37,32,40
Nettl2013Contemplating_the_Concept,,,,,2,2,2
"Neumeyer2006The_Contredanse,_Classical",,,,,5,1,1
Nooshin2013Beyond_the_<i>Radif</i>:,,,,,2,2,2
Osborn2011Understanding_Through-Composition_in,,,,,12,1,1
Rabinovitch2017Review_of_Massimiliano,,,,,8,2,2
Rahn1994From_Similarity_to,1,1,1,7,19,13,15
Rawlins2000Review_of_Mark,,,,,,2,2
Reed2007A_Tetrahelix_Animates,,,,5,18,8,14
Rings2018Music’s_Stubborn_Enchantments,,,,,,6,7
"Robb2015Imagined,_Supplemental_Sound",,,,,45,39,47
Robison1995Category_Structures_and,2,2,2,8,20,14,16
Rodgers2011Thinking_(and_Singing),,,,,,17,21
Roeder1993Toward_a_Semiotic,3,3,5,21,42,36,44
Roeder2001Pulse_Streams_and,,,,,1,1,1
Roeder2009Constructing_Transformational_Signification:,,,,5,18,8,14
Rothgeb1995The_Tristan_Chord:,,,6,22,44,38,46
Rusch2013Beyond_Homage_and,,,,,43,37,45
Rusch2013Crossing_Over_with,,,,,,16,20
Salley2015On_Duration_and,,,,,32,27,35
Samarotto2004Sublimating_Sharp_<math><mover><mn>4</mn><mo>̂</mo></mover></math>:,,,,,33,28,36
Samarotto2009“Plays_of_Opposing,,,,11,34,1,1
Samplaski2004Interval-Classes_and_Psychological,,,7,23,47,41,49
Samplaski2005Mapping_the_Geometries,,,7,23,47,41,49
"Sayrs2003Narrative,_Metaphor,_and",,,,,4,1,1
Schachter2015Structural_Levels_in,,,,,31,26,34
Schultz2012Tonal_Pairing_and,,,,1,3,1,1
Shanahan2009Review_of_Aniruddh,,,,,29,1,1
"Sheehy2013Improvisation,_Analysis,_and",,,,,2,2,2
Sheehy2013Introduction:_Theorizing_Improvisation,,,,,2,2,2
Smucker2021Review_of_Laura,,,,,,12,8
Stankis2015Maurice_Ravel’s_“Color,,,,,39,4,2
Steinbeck2013Improvisational_Fictions,,,,,2,2,2
Stover2012Review_of_Keith,,,,,,2,2
Townsend2012Scriabin_and_the,,,,18,38,33,41
Urista2003Beyond_Words:_The,,,,12,26,22,30
Urista2007Chopin’s_Prelude_in,,,,,45,39,47
Vélez2017Review_of_Lawrence,,,,,23,19,27
Wells2017A_Generalized_Intervallic,,,,,1,1,1
"Wild2014Genus,_Species_and",,,,,46,6,7
Willey2014The_Editing_and,,,,,7,5,4
"Zbikowski1995Response_to_Robison,",2,2,2,8,20,14,16
Zbikowski1995Theories_of_Categorization,2,2,2,8,20,14,16
