,x0,x1,snapshot,author_id
"Martinkus, Caitlin G.",-0.60154825,-0.32485664,2023-2026,"Martinkus, Caitlin G."
"Michaelsen, Garrett",-0.36832896,0.67763925,2023-2026,"Michaelsen, Garrett"
"Gjerdingen, Robert",-0.48156482,-0.5119568,2023-2026,"Gjerdingen, Robert"
"Bourne, Janet",-0.5588088,-0.56927294,2023-2026,"Bourne, Janet"
"Barna, Alyssa",-0.7440829,0.20817047,2023-2026,"Barna, Alyssa"
"Clercq, Trevor de",-0.9009556,-0.007464887,2023-2026,"Clercq, Trevor de"
"Attas, Robin",-0.86814463,-0.25121418,2023-2026,"Attas, Robin"
"Bakulina, Ellen",-0.25682375,-1.0214746,2023-2026,"Bakulina, Ellen"
"BaileyShea, Matt",-0.58979523,0.8251553,2023-2026,"BaileyShea, Matt"
"Wen, Eric",-0.4414104,-0.5352312,2023-2026,"Wen, Eric"
"Ho, Jocelyn",-0.7667184,0.41852486,2023-2026,"Ho, Jocelyn"
"Llorens, Ana",-0.25876617,1.2771792,2023-2026,"Llorens, Ana"
"Kahrs, Noah",-0.49204543,-0.62334013,2023-2026,"Kahrs, Noah"
"Nooshin, Laudan",0.21667844,0.33909547,2023-2026,"Nooshin, Laudan"
"Hook, Julian",-0.81911397,0.083026975,2023-2026,"Hook, Julian"
"Covach, John",-0.37309378,0.159722,2023-2026,"Covach, John"
"Hier, David",-0.36111492,-0.4424946,2023-2026,"Hier, David"
"Gann, Kyle",0.49460667,0.2472239,2023-2026,"Gann, Kyle"
"Cox, Arnie",-0.6147862,0.72491765,2023-2026,"Cox, Arnie"
"Johnson, Timothy A.",-0.7174012,0.4323743,2023-2026,"Johnson, Timothy A."
"McLaughlin, Caroline",-0.6546325,0.49394196,2023-2026,"McLaughlin, Caroline"
"Fyr, Kyle",-0.05951798,1.7835482,2023-2026,"Fyr, Kyle"
"Rahn, Jay",1.0001404,0.7555371,2023-2026,"Rahn, Jay"
"Killam, Rosemary N.",-0.6738668,0.3132849,2023-2026,"Killam, Rosemary N."
"Conlee, Jade",-0.71432257,-0.5255064,2023-2026,"Conlee, Jade"
"Murcott, Dominic",0.41322845,0.34704638,2023-2026,"Murcott, Dominic"
"Wild, Jonathan",-0.11394636,-0.23257773,2023-2026,"Wild, Jonathan"
"Hepokoski, James",0.32258004,1.7147884,2023-2026,"Hepokoski, James"
"Malawey, Victoria",-0.7374091,0.091818176,2023-2026,"Malawey, Victoria"
"McFarland, Mark",-0.5760581,0.114640005,2023-2026,"McFarland, Mark"
"Amiot, Emmanuel",3.3346217,0.1809725,2023-2026,"Amiot, Emmanuel"
"Wadsworth, Benjamin K.",2.629466,0.009123241,2023-2026,"Wadsworth, Benjamin K."
"Jenkins, J. Daniel",1.4013035,-1.2716728,2023-2026,"Jenkins, J. Daniel"
"Lochhead, Judith",-0.6999911,0.27062967,2023-2026,"Lochhead, Judith"
"Spreadborough, Kristal",-0.7700226,0.11409979,2023-2026,"Spreadborough, Kristal"
"Yust, Jason",3.3806202,0.13090649,2023-2026,"Yust, Jason"
"London, Justin",-0.77067983,-0.6367427,2023-2026,"London, Justin"
"Rabinovitch, Gilad",-0.56246823,-0.359897,2023-2026,"Rabinovitch, Gilad"
"Carter-Enyi, Aaron",-0.48693103,-0.8551785,2023-2026,"Carter-Enyi, Aaron"
"Fankhauser, Gabe",2.906074,-0.08149139,2023-2026,"Fankhauser, Gabe"
"Snodgrass, Jennifer Sterling",2.904237,-0.07032066,2023-2026,"Snodgrass, Jennifer Sterling"
"Johnston, Blair",-0.44977602,-0.68218964,2023-2026,"Johnston, Blair"
"Callahan, Michael R.",-0.6512384,-0.2134613,2023-2026,"Callahan, Michael R."
"Guez, Jonathan",-0.16669713,-0.6634474,2023-2026,"Guez, Jonathan"
"Buchler, Michael",0.7321466,-1.1725254,2023-2026,"Buchler, Michael"
"Boyle, Antares",-0.78839684,-0.16599423,2023-2026,"Boyle, Antares"
"Shanahan, Daniel",-0.4401442,-0.47053692,2023-2026,"Shanahan, Daniel"
"Kozak, Mariusz",-0.30586183,0.5594929,2023-2026,"Kozak, Mariusz"
"Martin, Nathan John",0.32212695,-0.12827991,2023-2026,"Martin, Nathan John"
"Stroud, Cara",-0.8988194,0.06942409,2023-2026,"Stroud, Cara"
"Hutchinson, Kyle",-0.75730985,-0.20446083,2023-2026,"Hutchinson, Kyle"
"Poon, Matthew",-0.6617799,-0.4075916,2023-2026,"Poon, Matthew"
"Donaldson, James",-0.2269137,-0.33253044,2023-2026,"Donaldson, James"
"Beaudoin, Richard",-0.7208227,-0.10435326,2023-2026,"Beaudoin, Richard"
"Fillerup, Jessie",-0.15541705,1.6561294,2023-2026,"Fillerup, Jessie"
"Brinkman, Alexander R.",2.7027247,0.018128773,2023-2026,"Brinkman, Alexander R."
"Marvin, Elizabeth W.",2.6931834,0.0049390425,2023-2026,"Marvin, Elizabeth W."
"Forrest, David L.",-0.82962334,0.20335764,2023-2026,"Forrest, David L."
"Guck, Marion",-0.6524037,-0.31539398,2023-2026,"Guck, Marion"
"Robison, Brian",0.09992691,0.50082344,2023-2026,"Robison, Brian"
"Morford, James B.",-0.4974049,-0.55954516,2023-2026,"Morford, James B."
"David, Aaron M.",-0.46929908,-0.57449293,2023-2026,"David, Aaron M."
"Boyle, Matthew L. C.",-0.488911,-0.6500081,2023-2026,"Boyle, Matthew L. C."
"Sherrill, Paul",-0.6450479,-0.36576352,2023-2026,"Sherrill, Paul"
"Cohen, Gilad",-0.6390956,-0.03957292,2023-2026,"Cohen, Gilad"
"Willey, Robert",0.69298255,0.44062904,2023-2026,"Willey, Robert"
"Leydon, Rebecca",-0.71801823,-0.392084,2023-2026,"Leydon, Rebecca"
"Holm-Hudson, Kevin J.",-0.5911855,0.6075538,2023-2026,"Holm-Hudson, Kevin J."
"Lumsden, Rachel",-0.55385774,-0.771312,2023-2026,"Lumsden, Rachel"
"BaileyShea, Matthew L.",-0.68030035,0.772827,2023-2026,"BaileyShea, Matthew L."
"Tenzer, Michael S.",0.41297492,-0.6488032,2023-2026,"Tenzer, Michael S."
"Cairns, Zachary",-0.82722896,-0.020607535,2023-2026,"Cairns, Zachary"
"Maus, Fred Everett",-0.80792534,-0.25794646,2023-2026,"Maus, Fred Everett"
"Samarotto, Frank",0.008251496,-0.73790395,2023-2026,"Samarotto, Frank"
"Stoecker, Philip",0.64945906,-1.3831506,2023-2026,"Stoecker, Philip"
"Willner, Channan",-0.87818503,-0.1797022,2023-2026,"Willner, Channan"
"Sly, Gordon",2.852042,0.0686775,2023-2026,"Sly, Gordon"
"Murphy, Scott",-0.64674175,-0.5289473,2023-2026,"Murphy, Scott"
"Love, Stefan Caris",-0.23933315,-0.913934,2023-2026,"Love, Stefan Caris"
"Osborne, Tyler",-0.56897324,0.028565604,2023-2026,"Osborne, Tyler"
"Woodruff, Eliot Ghofur",-0.14908694,-1.3059537,2023-2026,"Woodruff, Eliot Ghofur"
"Heyer, David J.",-0.47161135,0.082841665,2023-2026,"Heyer, David J."
"Martens, Daniel Barolsky and Peter",-0.2774525,0.39291638,2023-2026,"Martens, Daniel Barolsky and Peter"
"Tenzer, Michael",0.29718217,-0.73358274,2023-2026,"Tenzer, Michael"
"Hatten, Robert S.",-0.41674313,1.3656259,2023-2026,"Hatten, Robert S."
"Jong, Karst de",-0.686479,-0.16237497,2023-2026,"Jong, Karst de"
"Noll, Thomas",-0.7030217,-0.23555268,2023-2026,"Noll, Thomas"
"Moseley, Roger",0.06361568,0.122908324,2023-2026,"Moseley, Roger"
"Doll, Christopher",-0.7705688,0.083760425,2023-2026,"Doll, Christopher"
"Klumpenhouwer, Henry",-0.09765318,-0.77529407,2023-2026,"Klumpenhouwer, Henry"
"Carter-Ényì, Aaron",-0.6607781,-0.29826012,2023-2026,"Carter-Ényì, Aaron"
"Carter, David S.",-0.85164744,-0.072381236,2023-2026,"Carter, David S."
"Hanenberg, Scott J.",-0.7316683,0.28584483,2023-2026,"Hanenberg, Scott J."
"Goldenberg, Yosef",-0.45532382,-0.49768192,2023-2026,"Goldenberg, Yosef"
"Smither, Sean R.",-0.7152924,0.4393538,2023-2026,"Smither, Sean R."
"Heinonen, Yrjo",-0.81413597,0.31167758,2023-2026,"Heinonen, Yrjo"
"Damschroder, David",0.67897224,1.7758129,2023-2026,"Damschroder, David"
"Hahn, Joshua W.",-0.39435935,-0.7892974,2023-2026,"Hahn, Joshua W."
"Martin, Henry",-0.58795834,-0.018266207,2023-2026,"Martin, Henry"
"Yunek, Jeffrey Scott",-0.37032875,-0.8701283,2023-2026,"Yunek, Jeffrey Scott"
"Anku, Willie",-0.18456455,-0.4095717,2023-2026,"Anku, Willie"
"Zayaruznaya, Anna",0.22108881,-0.43418413,2023-2026,"Zayaruznaya, Anna"
"Maler, Anabel",-0.8451893,0.023601022,2023-2026,"Maler, Anabel"
"Komaniecki, Robert",-0.7356384,-0.053534064,2023-2026,"Komaniecki, Robert"
"Aaslid, Vilde",-0.20340307,0.5885356,2023-2026,"Aaslid, Vilde"
"Kallis, Vasilis",2.6472523,-0.064280055,2023-2026,"Kallis, Vasilis"
"Horlacher, Gretchen G.",-0.64401144,-0.18075511,2023-2026,"Horlacher, Gretchen G."
"Leong, Daphne",-0.25326905,1.4600024,2023-2026,"Leong, Daphne"
"Baker, Ben",-0.52185374,0.45550388,2023-2026,"Baker, Ben"
"Dodson, Alan",-0.22013363,0.6956109,2023-2026,"Dodson, Alan"
"Montague, Eugene",-0.7296998,0.72031736,2023-2026,"Montague, Eugene"
"Cutler, Timothy",-0.6357776,0.05456291,2023-2026,"Cutler, Timothy"
"Li, Mingyue",-0.7800711,-0.38351864,2023-2026,"Li, Mingyue"
"Masci, Michael",2.6112876,-0.13654098,2023-2026,"Masci, Michael"
"Vélez, Daniel Villegas",-0.4199041,0.45101655,2023-2026,"Vélez, Daniel Villegas"
"Menezes, Enrique Valarelli",2.7404847,0.09538989,2023-2026,"Menezes, Enrique Valarelli"
"Pires, Carlos Eduardo de Barros Moreira",2.7351825,0.041302234,2023-2026,"Pires, Carlos Eduardo de Barros Moreira"
"Gur, Golan",-0.37608612,0.34103677,2023-2026,"Gur, Golan"
"Posen, Thomas William",-0.27434084,-0.47908384,2023-2026,"Posen, Thomas William"
"Moore, Allan F.",-0.62500745,0.41539225,2023-2026,"Moore, Allan F."
"Buchler, Michael H.",0.21641017,-1.1860904,2023-2026,"Buchler, Michael H."
"Long, Megan Kaes",0.1516851,-0.7590853,2023-2026,"Long, Megan Kaes"
"Gauldin, Robert",0.8505466,0.7204172,2023-2026,"Gauldin, Robert"
"Demske, Thomas R.",0.9116938,0.67314756,2023-2026,"Demske, Thomas R."
"Kochavi, Jonathan",0.022667682,-0.91203934,2023-2026,"Kochavi, Jonathan"
"Quaglia, Bruce W.",-0.14387015,-0.08494937,2023-2026,"Quaglia, Bruce W."
"Byros, Vasili",-0.13521963,-0.9905204,2023-2026,"Byros, Vasili"
"Townsend, Anna M. Gawboy and Justin",2.656979,-0.069731,2023-2026,"Townsend, Anna M. Gawboy and Justin"
"McCreless, Patrick P.",-0.6663766,0.49817127,2023-2026,"McCreless, Patrick P."
"Nobile, Drew",-0.7776271,0.19430016,2023-2026,"Nobile, Drew"
"Geary, David",-0.9009158,-0.082627654,2023-2026,"Geary, David"
"Hood, Alison",0.35847387,-0.8629955,2023-2026,"Hood, Alison"
"London, Justin M.",-0.79498625,-0.10878556,2023-2026,"London, Justin M."
"Martinez, Jose Luis",0.5586788,-0.7421643,2023-2026,"Martinez, Jose Luis"
"Burnham, Scott",-0.61094475,0.48371506,2023-2026,"Burnham, Scott"
"Peck, Robert W.",-0.56288004,-0.57986957,2023-2026,"Peck, Robert W."
"Clement, Brett",-0.8090693,0.36384135,2023-2026,"Clement, Brett"
"Palmer, James K.",3.2319112,-0.34815592,2023-2026,"Palmer, James K."
"Douw, Andre M.",3.5879369,0.32441616,2023-2026,"Douw, Andre M."
"Schuijer, Michiel C.",3.5403366,0.30631652,2023-2026,"Schuijer, Michiel C."
"Littlefield, Richard C.",-0.7435089,-0.08462063,2023-2026,"Littlefield, Richard C."
"Besada, José L.",2.642495,-0.043548282,2023-2026,"Besada, José L."
"Kaminsky, Peter M.",-0.6892552,0.41770223,2023-2026,"Kaminsky, Peter M."
"Butterfield, Matthew W.",-0.79750115,-0.00967149,2023-2026,"Butterfield, Matthew W."
"Headlam, Dave",-0.44721526,-0.571264,2023-2026,"Headlam, Dave"
"Lehman, Frank",-0.7212834,-0.20011568,2023-2026,"Lehman, Frank"
"Li, Edwin K. C.",-0.8189291,-0.17904665,2023-2026,"Li, Edwin K. C."
"Reed, S. Alexander",-0.8990506,-0.051689446,2023-2026,"Reed, S. Alexander"
"Ren, Iris",-0.71608067,-0.13817373,2023-2026,"Ren, Iris"
"Duan, Zhiyao",-0.65785915,-0.20991656,2023-2026,"Duan, Zhiyao"
"Sallmen, Mark",-0.05363858,-1.1091685,2023-2026,"Sallmen, Mark"
"Jr., Jose M. Garza",-0.79272586,-0.14045477,2023-2026,"Jr., Jose M. Garza"
"Leech-Wilkinson, Daniel",-0.10396835,1.5132558,2023-2026,"Leech-Wilkinson, Daniel"
"Endrinal, Christopher",-0.83881116,-0.10521923,2023-2026,"Endrinal, Christopher"
"Aarden, Bret",2.605924,-0.13484997,2023-2026,"Aarden, Bret"
"Hippel, Paul T. von",2.6077783,-0.14069895,2023-2026,"Hippel, Paul T. von"
"Boyle, Matthew L.",-0.52683735,-0.60311574,2023-2026,"Boyle, Matthew L."
"Berry, Michael",-0.824692,0.28245035,2023-2026,"Berry, Michael"
"Code, David Løberg",0.8212809,0.77254874,2023-2026,"Code, David Løberg"
"Smucker, Peter",1.5255481,-1.3756216,2023-2026,"Smucker, Peter"
"Cramer, Alfred",-0.2572581,-0.5920749,2023-2026,"Cramer, Alfred"
"Schumann, Scott C.",-0.83715224,-0.18773863,2023-2026,"Schumann, Scott C."
"Probst, Stephanie",-0.740752,-0.2576151,2023-2026,"Probst, Stephanie"
"Hermann, Richard",0.77724284,0.58395123,2023-2026,"Hermann, Richard"
"Heetderks, David J.",-0.8577186,-0.052002072,2023-2026,"Heetderks, David J."
"Barolsky, Daniel G",-0.30033287,1.2483793,2023-2026,"Barolsky, Daniel G"
"Aziz, Andrew",-0.72938997,-0.040699493,2023-2026,"Aziz, Andrew"
"Marion, Gregory J.",2.642387,-0.07167552,2023-2026,"Marion, Gregory J."
"Hudson, Stephen S.",-0.83203846,-0.009397318,2023-2026,"Hudson, Stephen S."
"Love, Stefan C.",-0.5124189,-0.18484783,2023-2026,"Love, Stefan C."
"Duguay, Michèle",-0.8170335,-0.08803652,2023-2026,"Duguay, Michèle"
"Rink, John",-0.37038106,0.8222907,2023-2026,"Rink, John"
"Auerbach, Brent",-0.31377727,0.9636123,2023-2026,"Auerbach, Brent"
"Grant, Roger Mathew",0.94787115,-0.90109235,2023-2026,"Grant, Roger Mathew"
"Chenette, Timothy",-0.71217823,-0.29496184,2023-2026,"Chenette, Timothy"
"Urista, Diane J.",-0.42149633,0.838078,2023-2026,"Urista, Diane J."
"Arlin, Mary I.",-0.0739852,-0.12306369,2023-2026,"Arlin, Mary I."
"Goldman, Andrew J.",-0.30952686,0.639603,2023-2026,"Goldman, Andrew J."
"Sheehy, August",-0.07777399,0.38121003,2023-2026,"Sheehy, August"
"Steinbeck, Paul",-0.028354669,0.5018598,2023-2026,"Steinbeck, Paul"
"Samplaski, Art",0.8861322,0.77655184,2023-2026,"Samplaski, Art"
"Lewis, George E.",0.040249344,0.28406918,2023-2026,"Lewis, George E."
"Everett, Walter T.",-0.7621116,0.31558943,2023-2026,"Everett, Walter T."
"Martens, Peter A.",-0.37790605,0.33085123,2023-2026,"Martens, Peter A."
"Easley, David B.",-0.8471002,0.12736633,2023-2026,"Easley, David B."
"Rehding, Alexander",-0.16506973,-0.2976634,2023-2026,"Rehding, Alexander"
"Sayrs, Elizabeth P.",-0.74678063,0.11754565,2023-2026,"Sayrs, Elizabeth P."
"Agmon, Eytan",-0.15625864,-0.4261448,2023-2026,"Agmon, Eytan"
"Zbikowski, Lawrence M.",-0.4019867,0.42450613,2023-2026,"Zbikowski, Lawrence M."
"Reenan, Sam",2.7309322,0.024647988,2023-2026,"Reenan, Sam"
"Lee, Mike Cheng-Yu",0.67968154,1.9165491,2023-2026,"Lee, Mike Cheng-Yu"
"Chung, Andrew J.",-0.49656367,-0.029962577,2023-2026,"Chung, Andrew J."
"Spicer, Mark",-0.8557924,0.36912602,2023-2026,"Spicer, Mark"
"Chenette, Timothy K.",3.938308,-0.0048167207,2023-2026,"Chenette, Timothy K."
"Donin, Nicolas",-0.6439503,0.28834212,2023-2026,"Donin, Nicolas"
"Goldman, Jonathan",-0.5858228,0.33077008,2023-2026,"Goldman, Jonathan"
"Segall, Christopher",0.0012020929,-1.2740982,2023-2026,"Segall, Christopher"
"Givan, Benjamin",-0.4965263,0.7907544,2023-2026,"Givan, Benjamin"
"Nolan, Catherine",0.6171939,-0.98480225,2023-2026,"Nolan, Catherine"
"Cohn, Richard",-0.5023042,-0.7434477,2023-2026,"Cohn, Richard"
"Isaacson, Eric J.",0.610868,0.70182866,2023-2026,"Isaacson, Eric J."
"Krims, Adam P.",-0.6496363,0.5362219,2023-2026,"Krims, Adam P."
"Gates, Sarah",-0.58548856,-0.52652353,2023-2026,"Gates, Sarah"
"McNutt, Elizabeth",-0.0815716,1.7764736,2023-2026,"McNutt, Elizabeth"
"Clement, Brett G.",-0.7013253,-0.15370417,2023-2026,"Clement, Brett G."
"Morrison, Landon",-0.112873375,-0.14290358,2023-2026,"Morrison, Landon"
"Rao, Nancy Yunhwa",-0.29459348,1.4260579,2023-2026,"Rao, Nancy Yunhwa"
"Pearson, David M",-0.8394583,-0.081209265,2023-2026,"Pearson, David M"
"Pau, Andrew",-0.76795024,-0.12392914,2023-2026,"Pau, Andrew"
"Bent, Margaret",3.9721615,0.00011693833,2023-2026,"Bent, Margaret"
"Gardner, Samuel",-0.64350706,0.41945103,2023-2026,"Gardner, Samuel"
"Shea, Nicholas J.",-0.6965339,0.33255562,2023-2026,"Shea, Nicholas J."
"Bungert, James",-0.7985721,0.22873299,2023-2026,"Bungert, James"
"Lawrence, John Y.",-0.8036689,-0.11878842,2023-2026,"Lawrence, John Y."
"Lind, Stephanie",-0.42950404,-0.6664163,2023-2026,"Lind, Stephanie"
"Bernstein, Zachary",0.49125904,1.9864264,2023-2026,"Bernstein, Zachary"
"Beavers, Jennifer P.",0.13588858,-0.47170275,2023-2026,"Beavers, Jennifer P."
"Sterbenz, Maeve",-0.5935965,0.41202107,2023-2026,"Sterbenz, Maeve"
